Model,MSO64B
Channel,CH1,,Channel,CH2
Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s
Sample Interval,8.00000000e-10,,Sample Interval,8.00000000e-10
Record Length,5000,,Record Length,5000
Zero Index,349.21093750,,Zero Index,349.21093750
Vertical Units,V,,Vertical Units,V
,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,
yOffset,0.000000,,yOffset,0.000000
yPosition,2.160000,,yPosition,2.180000

Labels,,
TIME,CH1,CH2
-2.79368750e-07,8.25000000e-03,5.93750000e-03
-2.78568750e-07,3.81250000e-03,2.20312500e-02
-2.77768750e-07,1.09687500e-02,-9.37500000e-04
-2.76968750e-07,6.40625000e-03,1.64843750e-02
-2.76168750e-07,5.75000000e-03,1.62500000e-02
-2.75368750e-07,6.09375000e-03,9.29687500e-03
-2.74568750e-07,1.25625000e-02,1.45312500e-02
-2.73768750e-07,1.68750000e-03,1.17968750e-02
-2.72968750e-07,1.23125000e-02,6.56250000e-03
-2.72168750e-07,1.08750000e-02,4.84375000e-03
-2.71368750e-07,1.09062500e-02,7.42187500e-03
-2.70568750e-07,2.62500000e-03,1.35156250e-02
-2.69768750e-07,7.34375000e-03,1.78125000e-02
-2.68968750e-07,8.50000000e-03,1.51562500e-02
-2.68168750e-07,1.04687500e-02,7.73437500e-03
-2.67368750e-07,4.93750000e-03,4.21875000e-03
-2.66568750e-07,1.16875000e-02,1.80468750e-02
-2.65768750e-07,4.21875000e-03,1.36718750e-02
-2.64968750e-07,1.05312500e-02,4.60937500e-03
-2.64168750e-07,3.03125000e-03,1.61718750e-02
-2.63368750e-07,8.65625000e-03,1.50000000e-02
-2.62568750e-07,1.15312500e-02,4.68750000e-03
-2.61768750e-07,1.15312500e-02,1.34375000e-02
-2.60968750e-07,5.50000000e-03,1.91406250e-02
-2.60168750e-07,9.18750000e-03,1.62500000e-02
-2.59368750e-07,8.25000000e-03,2.50000000e-03
