Model,MSO64B
Channel,CH1,,Channel,CH2
Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s
Sample Interval,8.00000000e-10,,Sample Interval,8.00000000e-10
Record Length,5000,,Record Length,5000
Zero Index,349.66406250,,Zero Index,349.66406250
Vertical Units,V,,Vertical Units,V
,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,
yOffset,0.000000,,yOffset,0.000000
yPosition,2.160000,,yPosition,2.180000

Labels,,
TIME,CH1,CH2
-2.79731250e-07,7.00000000e-03,9.37500000e-04
-2.78931250e-07,1.13125000e-02,8.51562500e-03
-2.78131250e-07,3.78125000e-03,1.60937500e-02
-2.77331250e-07,8.15625000e-03,1.46093750e-02
-2.76531250e-07,8.15625000e-03,7.89062500e-03
-2.75731250e-07,7.21875000e-03,3.12500000e-04
-2.74931250e-07,0.00000000e+00,1.57031250e-02
-2.74131250e-07,1.18750000e-02,1.32812500e-02
-2.73331250e-07,9.12500000e-03,1.20312500e-02
-2.72531250e-07,3.96875000e-03,1.59375000e-02
-2.71731250e-07,6.46875000e-03,1.70312500e-02
-2.70931250e-07,7.62500000e-03,1.95312500e-03
-2.70131250e-07,5.59375000e-03,1.42968750e-02
-2.69331250e-07,6.00000000e-03,1.51562500e-02
-2.68531250e-07,1.34375000e-03,2.05468750e-02
-2.67731250e-07,6.96875000e-03,1.02343750e-02
-2.66931250e-07,8.59375000e-03,6.71875000e-03
-2.66131250e-07,1.16250000e-02,8.04687500e-03
-2.65331250e-07,3.09375000e-03,1.28125000e-02
-2.64531250e-07,5.12500000e-03,1.58593750e-02
-2.63731250e-07,9.21875000e-03,9.84375000e-03
-2.62931250e-07,4.37500000e-03,9.37500000e-03
-2.62131250e-07,4.87500000e-03,1.40625000e-02
-2.61331250e-07,4.50000000e-03,1.38281250e-02
-2.60531250e-07,7.90625000e-03,1.32031250e-02
-2.59731250e-07,5.59375000e-03,5.78125000e-03
-2.58931250e-07,4.21875000e-03,9.45312500e-03
-2.58131250e-07,8.46875000e-03,1.05468750e-02
-2.57331250e-07,6.15625000e-03,4.14062500e-03
-2.56531250e-07,7.65625000e-03,1.01562500e-02
-2.55731250e-07,6.93750000e-03,1.33593750e-02
-2.54931250e-07,4.53125000e-03,1.31250000e-02
-2.54131250e-07,4.65625000e-03,-1.95312500e-03
-2.53331250e-07,1.07187500e-02,1.10937500e-02
-2.52531250e-07,4.09375000e-03,1.59375000e-02
-2.51731250e-07,1.27812500e-02,1.45312500e-02
-2.50931250e-07,7.03125000e-03,5.31250000e-03
-2.50131250e-07,1.13125000e-02,1.41406250e-02
-2.49331250e-07,2.71875000e-03,1.85156250e-02
-2.48531250e-07,9.93750000e-03,1.50781250e-02
-2.47731250e-07,3.68750000e-03,1.25000000e-02
-2.46931250e-07,5.15625000e-03,1.44531250e-02
-2.46131250e-07,4.65625000e-03,1.17968750e-02
-2.45331250e-07,1.17500000e-02,1.38281250e-02
-2.44531250e-07,5.68750000e-03,4.45312500e-03
-2.43731250e-07,1.34062500e-02,9.37500000e-03
-2.42931250e-07,2.59375000e-03,7.89062500e-03
-2.42131250e-07,6.28125000e-03,7.42187500e-03
-2.41331250e-07,8.84375000e-03,5.39062500e-03
-2.40531250e-07,7.37500000e-03,1.47656250e-02
-2.39731250e-07,3.31250000e-03,7.81250000e-03
-2.38931250e-07,9.65625000e-03,1.01562500e-02
-2.38131250e-07,9.43750000e-03,7.26562500e-03
-2.37331250e-07,5.09375000e-03,1.48437500e-02
-2.36531250e-07,8.43750000e-03,1.03906250e-02
-2.35731250e-07,5.21875000e-03,2.34375000e-04
-2.34931250e-07,7.43750000e-03,1.82031250e-02
-2.34131250e-07,3.59375000e-03,1.23437500e-02
-2.33331250e-07,7.43750000e-03,7.26562500e-03
