Model,MSO64B
Channel,CH1,,Channel,CH2
Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s
Sample Interval,8.00000000e-10,,Sample Interval,8.00000000e-10
Record Length,5000,,Record Length,5000
Zero Index,349.48828125,,Zero Index,349.48828125
Vertical Units,V,,Vertical Units,V
,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,
yOffset,0.000000,,yOffset,0.000000
yPosition,2.160000,,yPosition,2.180000

Labels,,
TIME,CH1,CH2
-2.79590625e-07,6.50000000e-03,1.81250000e-02
-2.78790625e-07,4.25000000e-03,7.81250000e-03
-2.77990625e-07,7.28125000e-03,1.41406250e-02
-2.77190625e-07,6.75000000e-03,9.21875000e-03
-2.76390625e-07,1.02500000e-02,6.09375000e-03
-2.75590625e-07,1.68750000e-03,1.01562500e-02
-2.74790625e-07,7.43750000e-03,9.37500000e-03
-2.73990625e-07,5.78125000e-03,4.92187500e-03
-2.73190625e-07,8.81250000e-03,1.75781250e-02
-2.72390625e-07,8.12500000e-04,1.64062500e-02
-2.71590625e-07,4.09375000e-03,9.21875000e-03
-2.70790625e-07,7.34375000e-03,2.73437500e-03
-2.69990625e-07,1.17500000e-02,1.02343750e-02
-2.69190625e-07,4.12500000e-03,8.04687500e-03
-2.68390625e-07,4.25000000e-03,1.21875000e-02
-2.67590625e-07,7.15625000e-03,9.92187500e-03
-2.66790625e-07,4.28125000e-03,1.07812500e-02
-2.65990625e-07,7.12500000e-03,1.78906250e-02
-2.65190625e-07,8.18750000e-03,1.87500000e-03
-2.64390625e-07,6.90625000e-03,8.43750000e-03
-2.63590625e-07,7.15625000e-03,2.32031250e-02
-2.62790625e-07,8.56250000e-03,4.29687500e-03
-2.61990625e-07,7.21875000e-03,5.62500000e-03
-2.61190625e-07,5.21875000e-03,1.19531250e-02
-2.60390625e-07,1.08125000e-02,8.59375000e-03
-2.59590625e-07,2.37500000e-03,2.81250000e-03
-2.58790625e-07,3.71875000e-03,7.57812500e-03
-2.57990625e-07,1.00625000e-02,3.51562500e-03
-2.57190625e-07,9.00000000e-03,1.37500000e-02
-2.56390625e-07,4.00000000e-03,1.85156250e-02
-2.55590625e-07,6.65625000e-03,1.38281250e-02
-2.54790625e-07,8.40625000e-03,1.11718750e-02
-2.53990625e-07,8.96875000e-03,5.31250000e-03
-2.53190625e-07,8.12500000e-04,8.12500000e-03
-2.52390625e-07,9.75000000e-03,8.12500000e-03
-2.51590625e-07,3.78125000e-03,1.00000000e-02
-2.50790625e-07,9.00000000e-03,1.07031250e-02
-2.49990625e-07,5.56250000e-03,5.23437500e-03
-2.49190625e-07,3.21875000e-03,2.96875000e-03
-2.48390625e-07,3.59375000e-03,1.21875000e-02
-2.47590625e-07,7.53125000e-03,4.76562500e-03
-2.46790625e-07,3.00000000e-03,1.67968750e-02
-2.45990625e-07,1.00000000e-03,4.45312500e-03
-2.45190625e-07,6.15625000e-03,4.29687500e-03
-2.44390625e-07,6.56250000e-03,8.82812500e-03
-2.43590625e-07,1.62500000e-03,1.60156250e-02
-2.42790625e-07,4.28125000e-03,5.15625000e-03
-2.41990625e-07,7.84375000e-03,4.92187500e-03
-2.41190625e-07,6.65625000e-03,5.39062500e-03
-2.40390625e-07,8.87500000e-03,3.59375000e-03
-2.39590625e-07,5.15625000e-03,8.90625000e-03
-2.38790625e-07,1.07187500e-02,9.45312500e-03
-2.37990625e-07,8.03125000e-03,1.14062500e-02
-2.37190625e-07,7.46875000e-03,1.60156250e-02
-2.36390625e-07,7.43750000e-03,8.43750000e-03
-2.35590625e-07,-3.12500000e-04,2.18750000e-03
-2.34790625e-07,8.84375000e-03,9.45312500e-03
-2.33990625e-07,3.40625000e-03,6.01562500e-03
-2.33190625e-07,5.03125000e-03,-1.79687500e-03
-2.32390625e-07,3.71875000e-03,7.10937500e-03
-2.31590625e-07,8.65625000e-03,1.20312500e-02
-2.30790625e-07,1.18750000e-03,1.56250000e-03
-2.29990625e-07,1.03437500e-02,1.42968750e-02
-2.29190625e-07,7.56250000e-03,3.28125000e-03
-2.28390625e-07,4.59375000e-03,1.10156250e-02
-2.27590625e-07,3.21875000e-03,1.25781250e-02
-2.26790625e-07,8.93750000e-03,1.40625000e-03
-2.25990625e-07,3.28125000e-03,3.67187500e-03
-2.25190625e-07,9.03125000e-03,1.42187500e-02
-2.24390625e-07,3.46875000e-03,3.90625000e-03
-2.23590625e-07,9.37500000e-03,6.40625000e-03
-2.22790625e-07,4.43750000e-03,1.20312500e-02
-2.21990625e-07,6.28125000e-03,4.76562500e-03
-2.21190625e-07,-1.56250000e-04,4.84375000e-03
-2.20390625e-07,8.21875000e-03,5.54687500e-03
-2.19590625e-07,4.84375000e-03,5.46875000e-03
-2.18790625e-07,1.09375000e-02,-1.56250000e-03
-2.17990625e-07,1.59375000e-03,1.17968750e-02
-2.17190625e-07,6.78125000e-03,1.21875000e-02
-2.16390625e-07,9.34375000e-03,2.00000000e-02
-2.15590625e-07,1.13125000e-02,1.10937500e-02
-2.14790625e-07,5.00000000e-03,1.45312500e-02
-2.13990625e-07,2.62500000e-03,-6.71875000e-03
-2.13190625e-07,6.12500000e-03,1.06250000e-02
-2.12390625e-07,6.93750000e-03,1.06250000e-02
-2.11590625e-07,2.78125000e-03,1.75000000e-02
-2.10790625e-07,4.96875000e-03,1.10937500e-02
-2.09990625e-07,3.84375000e-03,1.34375000e-02
-2.09190625e-07,1.15625000e-02,9.76562500e-03
-2.08390625e-07,1.87500000e-04,9.37500000e-03
-2.07590625e-07,9.25000000e-03,7.81250000e-03
-2.06790625e-07,3.65625000e-03,-5.46875000e-04
-2.05990625e-07,9.37500000e-03,-2.42187500e-03
-2.05190625e-07,6.56250000e-04,6.25000000e-04
-2.04390625e-07,8.62500000e-03,1.29687500e-02
-2.03590625e-07,9.25000000e-03,3.59375000e-03
-2.02790625e-07,7.65625000e-03,1.70312500e-02
-2.01990625e-07,-1.56250000e-03,1.58593750e-02
-2.01190625e-07,9.34375000e-03,7.34375000e-03
-2.00390625e-07,1.87500000e-03,1.08593750e-02
-1.99590625e-07,5.90625000e-03,9.29687500e-03
-1.98790625e-07,5.62500000e-03,1.94531250e-02
-1.97990625e-07,8.25000000e-03,1.62500000e-02
-1.97190625e-07,3.28125000e-03,1.25781250e-02
-1.96390625e-07,1.29062500e-02,1.37500000e-02
-1.95590625e-07,2.50000000e-03,3.28125000e-03
-1.94790625e-07,6.75000000e-03,1.80468750e-02
-1.93990625e-07,7.37500000e-03,6.32812500e-03
-1.93190625e-07,1.00312500e-02,6.17187500e-03
-1.92390625e-07,5.31250000e-04,1.33593750e-02
-1.91590625e-07,7.34375000e-03,1.24218750e-02
-1.90790625e-07,6.46875000e-03,3.35937500e-03
-1.89990625e-07,8.93750000e-03,4.84375000e-03
-1.89190625e-07,3.90625000e-03,3.59375000e-03
-1.88390625e-07,4.81250000e-03,1.49218750e-02
-1.87590625e-07,7.87500000e-03,1.06250000e-02
-1.86790625e-07,2.90625000e-03,2.00000000e-02
-1.85990625e-07,7.68750000e-03,3.90625000e-04
-1.85190625e-07,6.37500000e-03,1.10937500e-02
-1.84390625e-07,3.90625000e-03,1.77343750e-02
-1.83590625e-07,7.62500000e-03,4.60937500e-03
-1.82790625e-07,6.87500000e-04,1.14843750e-02
-1.81990625e-07,2.87500000e-03,1.05468750e-02
-1.81190625e-07,5.06250000e-03,1.00000000e-02
-1.80390625e-07,7.90625000e-03,9.37500000e-03
-1.79590625e-07,1.96875000e-03,9.29687500e-03
-1.78790625e-07,8.43750000e-03,6.09375000e-03
-1.77990625e-07,6.15625000e-03,1.00781250e-02
-1.77190625e-07,9.50000000e-03,5.39062500e-03
-1.76390625e-07,1.50000000e-03,9.53125000e-03
-1.75590625e-07,9.34375000e-03,1.07031250e-02
-1.74790625e-07,6.46875000e-03,7.42187500e-03
-1.73990625e-07,6.65625000e-03,1.47656250e-02
-1.73190625e-07,4.56250000e-03,8.51562500e-03
-1.72390625e-07,8.28125000e-03,4.84375000e-03
-1.71590625e-07,5.09375000e-03,1.00781250e-02
-1.70790625e-07,1.17812500e-02,4.68750000e-03
-1.69990625e-07,4.50000000e-03,9.60937500e-03
-1.69190625e-07,8.75000000e-03,1.13281250e-02
-1.68390625e-07,8.06250000e-03,8.67187500e-03
-1.67590625e-07,8.15625000e-03,9.45312500e-03
-1.66790625e-07,2.75000000e-03,1.19531250e-02
-1.65990625e-07,6.12500000e-03,6.01562500e-03
-1.65190625e-07,1.04375000e-02,6.87500000e-03
-1.64390625e-07,8.96875000e-03,1.21093750e-02
-1.63590625e-07,9.37500000e-04,7.96875000e-03
-1.62790625e-07,7.46875000e-03,5.54687500e-03
-1.61990625e-07,8.46875000e-03,1.53906250e-02
-1.61190625e-07,9.78125000e-03,5.93750000e-03
-1.60390625e-07,6.12500000e-03,1.09375000e-02
-1.59590625e-07,3.28125000e-03,1.12500000e-02
-1.58790625e-07,1.15625000e-03,1.26562500e-02
-1.57990625e-07,4.12500000e-03,5.93750000e-03
-1.57190625e-07,5.00000000e-03,1.21875000e-02
-1.56390625e-07,7.43750000e-03,1.18750000e-02
-1.55590625e-07,6.84375000e-03,1.53906250e-02
-1.54790625e-07,9.53125000e-03,1.23437500e-02
-1.53990625e-07,-3.53125000e-03,8.04687500e-03
-1.53190625e-07,9.90625000e-03,1.32812500e-02
-1.52390625e-07,7.93750000e-03,7.96875000e-03
-1.51590625e-07,5.81250000e-03,1.79687500e-02
-1.50790625e-07,1.56250000e-03,5.78125000e-03
-1.49990625e-07,7.50000000e-03,1.67968750e-02
-1.49190625e-07,8.68750000e-03,1.29687500e-02
-1.48390625e-07,4.34375000e-03,4.60937500e-03
-1.47590625e-07,3.68750000e-03,9.37500000e-03
-1.46790625e-07,9.09375000e-03,6.64062500e-03
-1.45990625e-07,5.81250000e-03,5.46875000e-03
-1.45190625e-07,7.59375000e-03,4.21875000e-03
