Model,MSO64B
Channel,CH1,,Channel,CH2
Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s
Sample Interval,8.00000000e-10,,Sample Interval,8.00000000e-10
Record Length,5000,,Record Length,5000
Zero Index,349.49218750,,Zero Index,349.49218750
Vertical Units,V,,Vertical Units,V
,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,
yOffset,0.000000,,yOffset,0.000000
yPosition,2.160000,,yPosition,2.180000

Labels,,
TIME,CH1,CH2
-2.79593750e-07,1.33437500e-02,7.96875000e-03
-2.78793750e-07,2.50000000e-04,6.64062500e-03
-2.77993750e-07,1.09062500e-02,2.17187500e-02
-2.77193750e-07,1.12500000e-02,9.53125000e-03
-2.76393750e-07,1.30000000e-02,1.86718750e-02
-2.75593750e-07,7.71875000e-03,2.75781250e-02
-2.74793750e-07,1.05625000e-02,2.59375000e-02
-2.73993750e-07,3.25000000e-03,2.53125000e-02
-2.73193750e-07,9.03125000e-03,1.51562500e-02
-2.72393750e-07,4.96875000e-03,1.35937500e-02
-2.71593750e-07,1.41562500e-02,1.41406250e-02
-2.70793750e-07,8.40625000e-03,1.23437500e-02
-2.69993750e-07,1.35000000e-02,1.22656250e-02
-2.69193750e-07,6.68750000e-03,1.57812500e-02
-2.68393750e-07,9.06250000e-03,1.68750000e-02
-2.67593750e-07,8.31250000e-03,8.51562500e-03
-2.66793750e-07,1.23750000e-02,3.17187500e-02
-2.65993750e-07,5.43750000e-03,1.44531250e-02
-2.65193750e-07,1.20000000e-02,1.57031250e-02
-2.64393750e-07,1.39062500e-02,1.08593750e-02
-2.63593750e-07,1.06875000e-02,1.58593750e-02
-2.62793750e-07,1.00000000e-02,2.03125000e-02
-2.61993750e-07,9.21875000e-03,2.62500000e-02
-2.61193750e-07,1.55000000e-02,2.85156250e-02
-2.60393750e-07,9.00000000e-03,2.25000000e-02
-2.59593750e-07,1.22187500e-02,1.78125000e-02
-2.58793750e-07,8.62500000e-03,8.20312500e-03
-2.57993750e-07,7.06250000e-03,1.89843750e-02
-2.57193750e-07,1.51562500e-02,1.41406250e-02
-2.56393750e-07,9.71875000e-03,2.21875000e-02
-2.55593750e-07,7.81250000e-03,1.26562500e-02
-2.54793750e-07,8.06250000e-03,1.17187500e-02
-2.53993750e-07,1.19687500e-02,1.29687500e-02
-2.53193750e-07,9.06250000e-04,1.50000000e-02
-2.52393750e-07,1.18750000e-02,1.03125000e-02
-2.51593750e-07,1.09687500e-02,1.97656250e-02
-2.50793750e-07,1.29062500e-02,8.75000000e-03
-2.49993750e-07,4.53125000e-03,9.45312500e-03
-2.49193750e-07,1.19062500e-02,2.03906250e-02
-2.48393750e-07,7.12500000e-03,1.77343750e-02
-2.47593750e-07,9.65625000e-03,2.55468750e-02
-2.46793750e-07,4.06250000e-03,1.60937500e-02
-2.45993750e-07,1.14687500e-02,3.21093750e-02
-2.45193750e-07,5.50000000e-03,1.57031250e-02
-2.44393750e-07,1.01875000e-02,1.75781250e-02
-2.43593750e-07,6.25000000e-03,1.80468750e-02
-2.42793750e-07,5.93750000e-03,1.67968750e-02
-2.41993750e-07,1.13437500e-02,2.02343750e-02
-2.41193750e-07,1.70312500e-02,3.38281250e-02
-2.40393750e-07,8.75000000e-03,8.28125000e-03
-2.39593750e-07,1.00625000e-02,2.04687500e-02
-2.38793750e-07,1.16562500e-02,1.50781250e-02
-2.37993750e-07,1.00312500e-02,1.37500000e-02
-2.37193750e-07,7.46875000e-03,2.20312500e-02
-2.36393750e-07,8.96875000e-03,7.50000000e-03
-2.35593750e-07,1.39687500e-02,2.96875000e-02
-2.34793750e-07,8.12500000e-03,1.50781250e-02
-2.33993750e-07,6.96875000e-03,1.83593750e-02
