Model,MSO64B
Channel,CH1,,Channel,CH2,,Channel,REF1,,Channel,REF2
Label,,,Label,,,Label,CH1,,Label,CH2
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,8.00000000e-10,,Sample Interval,8.00000000e-10,,Sample Interval,8.00000000e-10,,Sample Interval,8.00000000e-10
Record Length,5000,,Record Length,5000,,Record Length,5000,,Record Length,5000
Zero Index,349.87500000,,Zero Index,349.87500000,,Zero Index,349.11328125,,Zero Index,349.11328125
Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,V
,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000
yPosition,2.160000,,yPosition,2.180000,,yPosition,2.160000,,yPosition,2.180000

Labels,,,,Labels,CH1,,Labels,CH2
TIME,CH1,CH2,,TIME,REF1,,TIME,REF2
-2.79900000e-07,3.78125000e-03,-7.89062500e-03,,-2.79290625e-07,7.03124981e-03,,-2.79290625e-07,9.99999978e-03
-2.79100000e-07,6.96875000e-03,1.07812500e-02,,-2.78490625e-07,9.78124980e-03,,-2.78490625e-07,1.13281254e-02
-2.78300000e-07,5.18750000e-03,9.45312500e-03,,-2.77690625e-07,6.75000018e-03,,-2.77690625e-07,1.02343746e-02
-2.77500000e-07,8.40625000e-03,2.15625000e-02,,-2.76890625e-07,2.00000009e-03,,-2.76890625e-07,1.27343750e-02
-2.76700000e-07,1.40625000e-03,1.63281250e-02,,-2.76090625e-07,2.34375009e-03,,-2.76090625e-07,1.00781247e-02
-2.75900000e-07,1.05937500e-02,1.95312500e-03,,-2.75290625e-07,7.40625011e-03,,-2.75290625e-07,1.47656249e-02
-2.75100000e-07,4.12500000e-03,5.70312500e-03,,-2.74490625e-07,5.75000001e-03,,-2.74490625e-07,1.05468752e-02
-2.74300000e-07,1.06250000e-02,1.34375000e-02,,-2.73690625e-07,6.59374986e-03,,-2.73690625e-07,6.09374978e-03
-2.73500000e-07,5.59375000e-03,8.04687500e-03,,-2.72890625e-07,6.46875007e-03,,-2.72890625e-07,1.35156251e-02
-2.72700000e-07,7.31250000e-03,1.21093750e-02,,-2.72090625e-07,4.40625008e-03,,-2.72090625e-07,1.64843742e-02
-2.71900000e-07,7.37500000e-03,1.26562500e-02,,-2.71290625e-07,5.43749984e-03,,-2.71290625e-07,6.56249980e-03
-2.71100000e-07,6.18750000e-03,1.59375000e-02,,-2.70490625e-07,6.56249991e-04,,-2.70490625e-07,1.53906252e-02
-2.70300000e-07,-1.09375000e-03,7.26562500e-03,,-2.69690625e-07,4.09374991e-03,,-2.69690625e-07,7.10937520e-03
-2.69500000e-07,4.87500000e-03,1.53125000e-02,,-2.68890625e-07,4.09374991e-03,,-2.68890625e-07,6.87499996e-03
-2.68700000e-07,5.43750000e-03,-1.40625000e-03,,-2.68090625e-07,1.00624999e-02,,-2.68090625e-07,1.06250001e-02
-2.67900000e-07,9.71875000e-03,1.57031250e-02,,-2.67290625e-07,8.12500017e-04,,-2.67290625e-07,3.35937506e-03
-2.67100000e-07,4.06250000e-03,3.67187500e-03,,-2.66490625e-07,1.02187498e-02,,-2.66490625e-07,8.90624989e-03
-2.66300000e-07,6.96875000e-03,1.17187500e-03,,-2.65690625e-07,9.49999969e-03,,-2.65690625e-07,-4.68749990e-04
-2.65500000e-07,1.11562500e-02,1.15625000e-02,,-2.64890625e-07,8.81250016e-03,,-2.64890625e-07,1.32031254e-02
-2.64700000e-07,6.03125000e-03,1.00781250e-02,,-2.64090625e-07,1.09375000e-03,,-2.64090625e-07,1.78906247e-02
-2.63900000e-07,3.09375000e-03,9.45312500e-03,,-2.63290625e-07,1.25000002e-02,,-2.63290625e-07,1.12500004e-02
-2.63100000e-07,9.34375000e-03,8.82812500e-03,,-2.62490625e-07,4.09374991e-03,,-2.62490625e-07,7.42187491e-03
-2.62300000e-07,4.62500000e-03,1.20312500e-02,,-2.61690625e-07,5.31250006e-03,,-2.61690625e-07,1.60937496e-02
-2.61500000e-07,4.31250000e-03,5.46875000e-03,,-2.60890625e-07,6.12499984e-03,,-2.60890625e-07,9.14062466e-03
-2.60700000e-07,4.37500000e-03,1.60937500e-02,,-2.60090625e-07,9.09375027e-03,,-2.60090625e-07,1.14843752e-02
-2.59900000e-07,6.93750000e-03,4.53125000e-03,,-2.59290625e-07,4.68750019e-03,,-2.59290625e-07,1.10937497e-02
-2.59100000e-07,5.71875000e-03,6.32812500e-03,,-2.58490625e-07,1.02812499e-02,,-2.58490625e-07,-2.49999994e-03
-2.58300000e-07,9.28125000e-03,6.09375000e-03,,-2.57690625e-07,5.75000001e-03,,-2.57690625e-07,1.83593743e-02
-2.57500000e-07,6.34375000e-03,1.28906250e-02,,-2.56890625e-07,4.12499998e-03,,-2.56890625e-07,1.03906253e-02
-2.56700000e-07,6.00000000e-03,7.81250000e-03,,-2.56090625e-07,7.84374960e-03,,-2.56090625e-07,7.49999983e-03
-2.55900000e-07,5.81250000e-03,-5.70312500e-03,,-2.55290625e-07,1.02500003e-02,,-2.55290625e-07,8.67187511e-03
-2.55100000e-07,9.59375000e-03,6.48437500e-03,,-2.54490625e-07,2.71874992e-03,,-2.54490625e-07,5.39062498e-03
-2.54300000e-07,1.34375000e-03,1.02343750e-02,,-2.53690625e-07,8.62499978e-03,,-2.53690625e-07,9.37499979e-04
-2.53500000e-07,8.90625000e-03,7.42187500e-03,,-2.52890625e-07,1.06562497e-02,,-2.52890625e-07,7.10937520e-03
-2.52700000e-07,5.12500000e-03,-1.64062500e-03,,-2.52090625e-07,5.65624982e-03,,-2.52090625e-07,1.74218751e-02
-2.51900000e-07,1.37812500e-02,1.43750000e-02,,-2.51290625e-07,5.09375008e-03,,-2.51290625e-07,1.06250001e-02
-2.51100000e-07,-1.53125000e-03,8.67187500e-03,,-2.50490625e-07,7.74999987e-03,,-2.50490625e-07,1.73437502e-02
-2.50300000e-07,6.65625000e-03,6.17187500e-03,,-2.49690625e-07,6.53125020e-03,,-2.49690625e-07,1.24218753e-02
-2.49500000e-07,6.21875000e-03,-6.40625000e-03,,-2.48890625e-07,5.59375016e-03,,-2.48890625e-07,1.07031250e-02
-2.48700000e-07,7.84375000e-03,1.58593750e-02,,-2.48090625e-07,6.87499996e-03,,-2.48090625e-07,1.19531248e-02
-2.47900000e-07,4.09375000e-03,1.79687500e-03,,-2.47290625e-07,3.00000003e-03,,-2.47290625e-07,1.39062498e-02
-2.47100000e-07,6.75000000e-03,-2.73437500e-03,,-2.46490625e-07,4.00000019e-03,,-2.46490625e-07,1.44531252e-02
-2.46300000e-07,3.37500000e-03,7.03125000e-03,,-2.45690625e-07,6.59374986e-03,,-2.45690625e-07,1.24218753e-02
-2.45500000e-07,8.50000000e-03,1.71875000e-03,,-2.44890625e-07,4.06249985e-03,,-2.44890625e-07,8.51562526e-03
-2.44700000e-07,3.37500000e-03,1.17968750e-02,,-2.44090625e-07,3.96875013e-03,,-2.44090625e-07,9.29687545e-03
-2.43900000e-07,2.96875000e-03,4.84375000e-03,,-2.43290625e-07,4.59375000e-03,,-2.43290625e-07,7.26562506e-03
-2.43100000e-07,7.87500000e-03,7.73437500e-03,,-2.42490625e-07,9.28124972e-03,,-2.42490625e-07,6.71875011e-03
