Model,MSO64B
Channel,CH1,,Channel,CH2
Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s
Sample Interval,8.00000000e-10,,Sample Interval,8.00000000e-10
Record Length,5000,,Record Length,5000
Zero Index,349.55468750,,Zero Index,349.55468750
Vertical Units,V,,Vertical Units,V
,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,
yOffset,0.000000,,yOffset,0.000000
yPosition,2.160000,,yPosition,2.180000

Labels,,
TIME,CH1,CH2
-2.79643750e-07,3.71875000e-03,1.86718750e-02
-2.78843750e-07,1.16562500e-02,1.75781250e-02
-2.78043750e-07,1.60937500e-02,8.20312500e-03
-2.77243750e-07,1.31875000e-02,2.31250000e-02
-2.76443750e-07,7.21875000e-03,1.38281250e-02
-2.75643750e-07,9.68750000e-03,4.53125000e-03
-2.74843750e-07,1.48437500e-02,1.04687500e-02
-2.74043750e-07,8.31250000e-03,9.21875000e-03
-2.73243750e-07,9.25000000e-03,1.25781250e-02
-2.72443750e-07,1.05937500e-02,1.25781250e-02
-2.71643750e-07,9.15625000e-03,1.71093750e-02
-2.70843750e-07,1.12187500e-02,1.51562500e-02
-2.70043750e-07,1.01250000e-02,1.77343750e-02
-2.69243750e-07,9.81250000e-03,2.10156250e-02
-2.68443750e-07,1.00625000e-02,2.27343750e-02
-2.67643750e-07,1.43437500e-02,1.07812500e-02
-2.66843750e-07,1.07812500e-02,1.71093750e-02
-2.66043750e-07,7.50000000e-03,1.21875000e-02
-2.65243750e-07,6.21875000e-03,1.85156250e-02
-2.64443750e-07,1.35312500e-02,1.93750000e-02
-2.63643750e-07,3.37500000e-03,8.35937500e-03
-2.62843750e-07,1.07500000e-02,2.64062500e-02
-2.62043750e-07,7.65625000e-03,1.13281250e-02
-2.61243750e-07,9.75000000e-03,1.64843750e-02
-2.60443750e-07,7.56250000e-03,1.61718750e-02
-2.59643750e-07,1.24062500e-02,5.07812500e-03
-2.58843750e-07,8.71875000e-03,2.00781250e-02
-2.58043750e-07,1.01875000e-02,2.85937500e-02
-2.57243750e-07,6.62500000e-03,8.04687500e-03
-2.56443750e-07,7.28125000e-03,2.17968750e-02
-2.55643750e-07,6.68750000e-03,1.46093750e-02
-2.54843750e-07,1.47812500e-02,7.81250000e-03
-2.54043750e-07,4.46875000e-03,1.57812500e-02
-2.53243750e-07,6.09375000e-03,1.68750000e-02
-2.52443750e-07,1.44687500e-02,7.73437500e-03
-2.51643750e-07,1.55937500e-02,2.25000000e-02
-2.50843750e-07,2.50000000e-04,1.20312500e-02
-2.50043750e-07,8.34375000e-03,1.26562500e-02
-2.49243750e-07,1.06250000e-02,1.83593750e-02
-2.48443750e-07,1.05312500e-02,1.89843750e-02
-2.47643750e-07,9.81250000e-03,2.21875000e-02
-2.46843750e-07,8.28125000e-03,1.87500000e-02
-2.46043750e-07,1.12187500e-02,2.08593750e-02
-2.45243750e-07,1.39687500e-02,2.07031250e-02
-2.44443750e-07,7.34375000e-03,1.53906250e-02
-2.43643750e-07,9.93750000e-03,1.75000000e-02
