Model,MSO64B
Channel,CH1,,Channel,CH2
Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s
Sample Interval,8.00000000e-10,,Sample Interval,8.00000000e-10
Record Length,5000,,Record Length,5000
Zero Index,349.33984375,,Zero Index,349.33984375
Vertical Units,V,,Vertical Units,V
,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,
yOffset,0.000000,,yOffset,0.000000
yPosition,2.160000,,yPosition,2.180000

Labels,,
TIME,CH1,CH2
-2.79471875e-07,6.78125000e-03,1.96875000e-02
-2.78671875e-07,5.21875000e-03,1.29687500e-02
-2.77871875e-07,6.37500000e-03,1.00000000e-02
-2.77071875e-07,6.12500000e-03,2.51562500e-02
-2.76271875e-07,7.43750000e-03,1.68750000e-02
-2.75471875e-07,7.43750000e-03,1.70312500e-02
-2.74671875e-07,8.06250000e-03,1.42968750e-02
-2.73871875e-07,5.40625000e-03,2.42187500e-02
-2.73071875e-07,1.22500000e-02,4.14062500e-03
-2.72271875e-07,7.15625000e-03,1.34375000e-02
-2.71471875e-07,7.90625000e-03,1.75781250e-02
-2.70671875e-07,8.34375000e-03,1.24218750e-02
-2.69871875e-07,1.49062500e-02,1.51562500e-02
-2.69071875e-07,1.90625000e-03,1.56250000e-02
-2.68271875e-07,8.84375000e-03,8.43750000e-03
-2.67471875e-07,1.01562500e-02,1.79687500e-02
-2.66671875e-07,1.10312500e-02,1.42187500e-02
-2.65871875e-07,7.00000000e-03,9.21875000e-03
-2.65071875e-07,1.38750000e-02,1.25000000e-02
-2.64271875e-07,9.37500000e-03,1.45312500e-02
-2.63471875e-07,1.16875000e-02,1.37500000e-02
-2.62671875e-07,8.28125000e-03,1.12500000e-02
-2.61871875e-07,7.96875000e-03,1.91406250e-02
-2.61071875e-07,9.62500000e-03,1.49218750e-02
-2.60271875e-07,1.07500000e-02,1.37500000e-02
-2.59471875e-07,5.62500000e-03,1.24218750e-02
-2.58671875e-07,4.43750000e-03,1.24218750e-02
-2.57871875e-07,1.41562500e-02,9.14062500e-03
-2.57071875e-07,9.28125000e-03,1.71875000e-02
-2.56271875e-07,2.78125000e-03,6.95312500e-03
-2.55471875e-07,7.59375000e-03,7.50000000e-03
-2.54671875e-07,1.02187500e-02,1.85156250e-02
-2.53871875e-07,7.81250000e-03,1.17968750e-02
-2.53071875e-07,7.84375000e-03,1.38281250e-02
-2.52271875e-07,6.31250000e-03,7.89062500e-03
-2.51471875e-07,1.42500000e-02,2.78125000e-02
-2.50671875e-07,9.81250000e-03,4.76562500e-03
-2.49871875e-07,1.04375000e-02,1.88281250e-02
-2.49071875e-07,7.00000000e-03,1.07812500e-02
-2.48271875e-07,2.43750000e-03,1.93750000e-02
-2.47471875e-07,1.51562500e-02,1.53125000e-02
-2.46671875e-07,9.71875000e-03,8.51562500e-03
-2.45871875e-07,6.21875000e-03,8.35937500e-03
-2.45071875e-07,3.59375000e-03,6.79687500e-03
-2.44271875e-07,1.01562500e-02,1.97656250e-02
-2.43471875e-07,2.65625000e-03,7.18750000e-03
-2.42671875e-07,1.21562500e-02,2.32031250e-02
-2.41871875e-07,1.27500000e-02,1.15625000e-02
-2.41071875e-07,1.82500000e-02,1.84375000e-02
-2.40271875e-07,6.87500000e-03,5.70312500e-03
-2.39471875e-07,1.07500000e-02,1.66406250e-02
-2.38671875e-07,4.68750000e-03,1.10156250e-02
-2.37871875e-07,9.68750000e-03,2.04687500e-02
-2.37071875e-07,9.90625000e-03,1.02343750e-02
-2.36271875e-07,1.28125000e-02,1.72656250e-02
-2.35471875e-07,7.81250000e-03,1.61718750e-02
-2.34671875e-07,7.21875000e-03,1.03125000e-02
-2.33871875e-07,3.84375000e-03,6.40625000e-03
-2.33071875e-07,8.03125000e-03,5.31250000e-03
-2.32271875e-07,8.50000000e-03,6.79687500e-03
-2.31471875e-07,1.36875000e-02,2.39843750e-02
-2.30671875e-07,6.53125000e-03,8.12500000e-03
-2.29871875e-07,1.09687500e-02,8.90625000e-03
-2.29071875e-07,9.78125000e-03,2.11718750e-02
-2.28271875e-07,1.04375000e-02,1.63281250e-02
-2.27471875e-07,6.06250000e-03,1.77343750e-02
-2.26671875e-07,1.02500000e-02,1.82031250e-02
-2.25871875e-07,1.26875000e-02,9.60937500e-03
-2.25071875e-07,7.18750000e-03,2.18750000e-02
-2.24271875e-07,1.44687500e-02,9.29687500e-03
-2.23471875e-07,1.01250000e-02,5.46875000e-03
-2.22671875e-07,4.03125000e-03,2.17968750e-02
-2.21871875e-07,1.33125000e-02,1.28906250e-02
-2.21071875e-07,1.43750000e-02,1.31250000e-02
-2.20271875e-07,1.05625000e-02,1.24218750e-02
-2.19471875e-07,7.68750000e-03,1.37500000e-02
-2.18671875e-07,1.08750000e-02,7.81250000e-03
-2.17871875e-07,1.21875000e-03,1.52343750e-02
-2.17071875e-07,9.87500000e-03,5.70312500e-03
-2.16271875e-07,8.50000000e-03,1.01562500e-02
-2.15471875e-07,1.50937500e-02,1.64843750e-02
-2.14671875e-07,2.78125000e-03,8.51562500e-03
-2.13871875e-07,1.07187500e-02,2.52343750e-02
-2.13071875e-07,6.12500000e-03,1.72656250e-02
-2.12271875e-07,1.16562500e-02,8.35937500e-03
-2.11471875e-07,6.96875000e-03,3.20312500e-03
-2.10671875e-07,1.40000000e-02,8.12500000e-03
-2.09871875e-07,6.78125000e-03,1.32812500e-02
-2.09071875e-07,1.25000000e-02,1.58593750e-02
-2.08271875e-07,7.31250000e-03,1.03906250e-02
-2.07471875e-07,1.27812500e-02,1.20312500e-02
-2.06671875e-07,9.21875000e-03,1.24218750e-02
-2.05871875e-07,1.47500000e-02,1.52343750e-02
-2.05071875e-07,4.62500000e-03,8.98437500e-03
-2.04271875e-07,7.93750000e-03,3.43750000e-03
-2.03471875e-07,9.25000000e-03,1.67187500e-02
-2.02671875e-07,9.50000000e-03,1.45312500e-02
-2.01871875e-07,8.46875000e-03,1.90625000e-02
-2.01071875e-07,7.59375000e-03,9.06250000e-03
-2.00271875e-07,8.90625000e-03,1.92187500e-02
-1.99471875e-07,8.28125000e-03,8.35937500e-03
-1.98671875e-07,7.93750000e-03,1.92968750e-02
-1.97871875e-07,9.50000000e-03,8.20312500e-03
-1.97071875e-07,3.03125000e-03,1.80468750e-02
-1.96271875e-07,9.93750000e-03,1.61718750e-02
-1.95471875e-07,8.31250000e-03,1.31250000e-02
-1.94671875e-07,9.93750000e-03,1.56250000e-02
-1.93871875e-07,7.06250000e-03,5.78125000e-03
-1.93071875e-07,1.15000000e-02,1.66406250e-02
-1.92271875e-07,3.50000000e-03,1.50000000e-02
-1.91471875e-07,1.35312500e-02,1.17187500e-02
-1.90671875e-07,1.07500000e-02,1.05468750e-02
-1.89871875e-07,1.18125000e-02,1.39062500e-02
-1.89071875e-07,8.25000000e-03,1.91406250e-02
-1.88271875e-07,1.40000000e-02,1.68750000e-02
-1.87471875e-07,7.75000000e-03,1.63281250e-02
-1.86671875e-07,1.03437500e-02,1.02343750e-02
-1.85871875e-07,8.18750000e-03,0.00000000e+00
-1.85071875e-07,1.21562500e-02,2.21875000e-02
-1.84271875e-07,7.59375000e-03,2.07031250e-02
-1.83471875e-07,1.21875000e-02,1.03906250e-02
-1.82671875e-07,5.00000000e-03,2.03906250e-02
-1.81871875e-07,6.34375000e-03,1.01562500e-02
-1.81071875e-07,1.19062500e-02,1.13281250e-02
-1.80271875e-07,1.40625000e-02,2.03906250e-02
-1.79471875e-07,5.62500000e-03,1.22656250e-02
-1.78671875e-07,1.21875000e-02,1.58593750e-02
-1.77871875e-07,1.13750000e-02,2.02343750e-02
-1.77071875e-07,9.25000000e-03,1.42187500e-02
-1.76271875e-07,1.01562500e-02,1.82812500e-02
-1.75471875e-07,5.43750000e-03,3.12500000e-04
-1.74671875e-07,1.16250000e-02,1.89843750e-02
-1.73871875e-07,7.06250000e-03,2.53125000e-02
-1.73071875e-07,9.87500000e-03,1.16406250e-02
-1.72271875e-07,9.15625000e-03,2.42187500e-02
-1.71471875e-07,6.28125000e-03,5.39062500e-03
-1.70671875e-07,8.90625000e-03,1.20312500e-02
-1.69871875e-07,7.59375000e-03,1.43750000e-02
-1.69071875e-07,8.62500000e-03,1.63281250e-02
-1.68271875e-07,1.01250000e-02,1.30468750e-02
-1.67471875e-07,1.04687500e-02,1.30468750e-02
-1.66671875e-07,6.09375000e-03,1.25000000e-02
-1.65871875e-07,1.23437500e-02,1.38281250e-02
-1.65071875e-07,9.75000000e-03,1.50781250e-02
-1.64271875e-07,1.59062500e-02,1.96093750e-02
-1.63471875e-07,5.06250000e-03,8.98437500e-03
-1.62671875e-07,9.84375000e-03,1.92187500e-02
-1.61871875e-07,9.09375000e-03,1.75000000e-02
-1.61071875e-07,1.20000000e-02,1.36718750e-02
-1.60271875e-07,7.25000000e-03,1.24218750e-02
-1.59471875e-07,1.49687500e-02,1.90625000e-02
-1.58671875e-07,4.21875000e-03,1.42187500e-02
-1.57871875e-07,1.10625000e-02,1.76562500e-02
-1.57071875e-07,5.59375000e-03,1.08593750e-02
-1.56271875e-07,9.25000000e-03,7.89062500e-03
-1.55471875e-07,9.84375000e-03,1.65625000e-02
-1.54671875e-07,1.54062500e-02,2.21875000e-02
-1.53871875e-07,6.87500000e-03,8.59375000e-04
-1.53071875e-07,5.34375000e-03,1.42187500e-02
-1.52271875e-07,1.38750000e-02,1.28125000e-02
-1.51471875e-07,9.03125000e-03,9.92187500e-03
-1.50671875e-07,1.03750000e-02,1.03906250e-02
-1.49871875e-07,6.68750000e-03,3.35937500e-03
-1.49071875e-07,1.13437500e-02,1.67187500e-02
-1.48271875e-07,6.53125000e-03,1.17187500e-02
-1.47471875e-07,1.16562500e-02,9.84375000e-03
-1.46671875e-07,1.38437500e-02,9.21875000e-03
-1.45871875e-07,7.71875000e-03,9.21875000e-03
-1.45071875e-07,1.17812500e-02,1.20312500e-02
-1.44271875e-07,8.90625000e-03,1.37500000e-02
-1.43471875e-07,4.15625000e-03,6.48437500e-03
-1.42671875e-07,7.18750000e-03,3.43750000e-03
-1.41871875e-07,1.12500000e-02,1.14843750e-02
-1.41071875e-07,2.06250000e-03,1.71093750e-02
-1.40271875e-07,1.25937500e-02,1.17968750e-02
-1.39471875e-07,7.12500000e-03,2.31250000e-02
-1.38671875e-07,1.13750000e-02,1.60156250e-02
-1.37871875e-07,5.31250000e-03,1.24218750e-02
-1.37071875e-07,1.31250000e-02,1.36718750e-02
-1.36271875e-07,8.53125000e-03,1.23437500e-02
-1.35471875e-07,8.15625000e-03,1.30468750e-02
-1.34671875e-07,8.15625000e-03,5.15625000e-03
-1.33871875e-07,1.31562500e-02,4.84375000e-03
-1.33071875e-07,8.15625000e-03,1.67968750e-02
-1.32271875e-07,1.26562500e-02,6.56250000e-03
-1.31471875e-07,4.50000000e-03,1.10937500e-02
-1.30671875e-07,9.03125000e-03,1.53906250e-02
