Model,MSO64B
Channel,CH1,,Channel,CH2
Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s
Sample Interval,8.00000000e-10,,Sample Interval,8.00000000e-10
Record Length,5000,,Record Length,5000
Zero Index,349.06640625,,Zero Index,349.06640625
Vertical Units,V,,Vertical Units,V
,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,
yOffset,0.000000,,yOffset,0.000000
yPosition,2.160000,,yPosition,2.180000

Labels,,
TIME,CH1,CH2
-2.79253125e-07,1.19375000e-02,2.10937500e-02
-2.78453125e-07,7.78125000e-03,2.07031250e-02
-2.77653125e-07,1.31875000e-02,1.94531250e-02
-2.76853125e-07,6.87500000e-03,1.41406250e-02
-2.76053125e-07,1.38437500e-02,1.89843750e-02
-2.75253125e-07,9.46875000e-03,2.20312500e-02
-2.74453125e-07,1.39687500e-02,1.28125000e-02
-2.73653125e-07,6.96875000e-03,1.30468750e-02
-2.72853125e-07,1.14687500e-02,1.96093750e-02
-2.72053125e-07,1.03125000e-02,1.87500000e-02
-2.71253125e-07,1.33437500e-02,1.21875000e-02
-2.70453125e-07,5.06250000e-03,8.98437500e-03
-2.69653125e-07,1.02812500e-02,1.25000000e-02
-2.68853125e-07,8.31250000e-03,1.37500000e-02
-2.68053125e-07,8.00000000e-03,1.71093750e-02
-2.67253125e-07,8.53125000e-03,1.89843750e-02
-2.66453125e-07,9.84375000e-03,1.82812500e-02
-2.65653125e-07,1.14062500e-02,2.42187500e-02
-2.64853125e-07,8.56250000e-03,2.06250000e-02
-2.64053125e-07,1.15625000e-02,1.54687500e-02
-2.63253125e-07,7.53125000e-03,1.49218750e-02
-2.62453125e-07,6.65625000e-03,1.88281250e-02
-2.61653125e-07,9.68750000e-03,6.79687500e-03
-2.60853125e-07,1.00625000e-02,1.72656250e-02
-2.60053125e-07,1.00312500e-02,1.67187500e-02
-2.59253125e-07,9.90625000e-03,7.18750000e-03
-2.58453125e-07,1.35937500e-02,2.50781250e-02
-2.57653125e-07,3.81250000e-03,2.81250000e-03
-2.56853125e-07,1.46875000e-02,1.95312500e-02
-2.56053125e-07,9.12500000e-03,2.34375000e-02
-2.55253125e-07,1.26250000e-02,1.95312500e-02
-2.54453125e-07,8.15625000e-03,1.75000000e-02
-2.53653125e-07,1.17812500e-02,1.88281250e-02
-2.52853125e-07,6.00000000e-03,1.88281250e-02
-2.52053125e-07,9.25000000e-03,2.27343750e-02
-2.51253125e-07,8.34375000e-03,6.64062500e-03
-2.50453125e-07,1.20312500e-02,1.72656250e-02
-2.49653125e-07,6.15625000e-03,1.80468750e-02
-2.48853125e-07,1.61562500e-02,1.43750000e-02
-2.48053125e-07,2.06250000e-03,1.82031250e-02
-2.47253125e-07,6.53125000e-03,1.42187500e-02
-2.46453125e-07,8.96875000e-03,1.43750000e-02
-2.45653125e-07,1.09375000e-02,2.96093750e-02
-2.44853125e-07,5.81250000e-03,1.83593750e-02
-2.44053125e-07,7.25000000e-03,1.23437500e-02
-2.43253125e-07,1.40000000e-02,2.00781250e-02
-2.42453125e-07,5.56250000e-03,1.08593750e-02
-2.41653125e-07,8.12500000e-03,1.69531250e-02
-2.40853125e-07,6.65625000e-03,9.60937500e-03
-2.40053125e-07,1.67812500e-02,2.24218750e-02
-2.39253125e-07,8.43750000e-03,1.60937500e-02
-2.38453125e-07,1.25937500e-02,1.96093750e-02
-2.37653125e-07,8.56250000e-03,1.42187500e-02
-2.36853125e-07,4.09375000e-03,2.89062500e-02
-2.36053125e-07,1.27500000e-02,1.31250000e-02
-2.35253125e-07,1.21562500e-02,1.77343750e-02
-2.34453125e-07,5.87500000e-03,1.39843750e-02
-2.33653125e-07,7.62500000e-03,9.14062500e-03
-2.32853125e-07,8.81250000e-03,2.16406250e-02
-2.32053125e-07,5.21875000e-03,1.14062500e-02
-2.31253125e-07,1.28125000e-02,1.03906250e-02
-2.30453125e-07,7.46875000e-03,1.05468750e-02
-2.29653125e-07,6.81250000e-03,1.90625000e-02
-2.28853125e-07,3.09375000e-03,1.23437500e-02
-2.28053125e-07,1.45937500e-02,1.83593750e-02
-2.27253125e-07,5.68750000e-03,1.49218750e-02
-2.26453125e-07,7.40625000e-03,1.83593750e-02
-2.25653125e-07,7.18750000e-03,1.09375000e-02
-2.24853125e-07,1.26250000e-02,2.04687500e-02
-2.24053125e-07,8.62500000e-03,1.40625000e-02
-2.23253125e-07,1.32812500e-02,1.50781250e-02
-2.22453125e-07,2.75000000e-03,1.75781250e-02
-2.21653125e-07,9.56250000e-03,1.56250000e-02
-2.20853125e-07,1.01875000e-02,1.56250000e-02
-2.20053125e-07,1.53437500e-02,1.63281250e-02
-2.19253125e-07,8.43750000e-03,1.56250000e-02
-2.18453125e-07,9.65625000e-03,2.36718750e-02
-2.17653125e-07,1.37812500e-02,1.85937500e-02
-2.16853125e-07,9.50000000e-03,1.75781250e-02
-2.16053125e-07,1.09687500e-02,1.07812500e-02
-2.15253125e-07,8.40625000e-03,1.12500000e-02
-2.14453125e-07,1.11562500e-02,2.75781250e-02
-2.13653125e-07,1.08125000e-02,1.73437500e-02
-2.12853125e-07,1.34687500e-02,2.01562500e-02
-2.12053125e-07,7.15625000e-03,1.47656250e-02
-2.11253125e-07,3.71875000e-03,1.95312500e-02
-2.10453125e-07,1.55937500e-02,1.01562500e-02
-2.09653125e-07,1.21875000e-02,1.77343750e-02
-2.08853125e-07,9.50000000e-03,1.67968750e-02
-2.08053125e-07,5.12500000e-03,1.62500000e-02
-2.07253125e-07,1.49062500e-02,1.82031250e-02
-2.06453125e-07,5.84375000e-03,1.28906250e-02
-2.05653125e-07,1.48750000e-02,1.24218750e-02
-2.04853125e-07,1.04375000e-02,2.04687500e-02
-2.04053125e-07,1.14375000e-02,3.00000000e-02
-2.03253125e-07,1.01875000e-02,1.12500000e-02
-2.02453125e-07,1.28750000e-02,2.43750000e-02
-2.01653125e-07,6.90625000e-03,2.43750000e-02
-2.00853125e-07,1.17500000e-02,8.04687500e-03
-2.00053125e-07,6.96875000e-03,1.04687500e-02
-1.99253125e-07,1.48125000e-02,2.10156250e-02
-1.98453125e-07,1.02812500e-02,2.14062500e-02
-1.97653125e-07,1.68437500e-02,1.82031250e-02
-1.96853125e-07,9.43750000e-03,2.20312500e-02
-1.96053125e-07,1.08125000e-02,1.60937500e-02
-1.95253125e-07,1.25000000e-02,1.61718750e-02
-1.94453125e-07,1.42187500e-02,1.62500000e-02
-1.93653125e-07,9.40625000e-03,1.41406250e-02
-1.92853125e-07,1.14687500e-02,1.64062500e-02
-1.92053125e-07,9.18750000e-03,1.67968750e-02
-1.91253125e-07,1.10000000e-02,2.03125000e-02
-1.90453125e-07,1.10625000e-02,2.06250000e-02
-1.89653125e-07,8.12500000e-03,1.56250000e-02
-1.88853125e-07,7.81250000e-03,3.06250000e-02
-1.88053125e-07,6.93750000e-03,2.50000000e-03
-1.87253125e-07,1.20937500e-02,1.92187500e-02
-1.86453125e-07,1.05000000e-02,4.06250000e-03
-1.85653125e-07,5.56250000e-03,1.92968750e-02
-1.84853125e-07,1.01250000e-02,8.75000000e-03
-1.84053125e-07,1.04062500e-02,1.66406250e-02
-1.83253125e-07,1.22187500e-02,1.55468750e-02
-1.82453125e-07,6.93750000e-03,2.04687500e-02
-1.81653125e-07,1.50312500e-02,1.86718750e-02
-1.80853125e-07,4.18750000e-03,1.35937500e-02
-1.80053125e-07,1.16250000e-02,1.81250000e-02
-1.79253125e-07,9.40625000e-03,1.14843750e-02
-1.78453125e-07,1.20312500e-02,6.32812500e-03
-1.77653125e-07,4.46875000e-03,9.29687500e-03
-1.76853125e-07,1.71250000e-02,2.10156250e-02
-1.76053125e-07,4.15625000e-03,1.42187500e-02
-1.75253125e-07,9.37500000e-03,1.24218750e-02
-1.74453125e-07,6.71875000e-03,1.63281250e-02
-1.73653125e-07,1.29375000e-02,8.28125000e-03
-1.72853125e-07,6.65625000e-03,1.39062500e-02
-1.72053125e-07,1.59062500e-02,8.98437500e-03
-1.71253125e-07,4.62500000e-03,1.00000000e-02
-1.70453125e-07,9.06250000e-03,1.64843750e-02
-1.69653125e-07,1.30625000e-02,1.69531250e-02
-1.68853125e-07,1.40000000e-02,1.22656250e-02
-1.68053125e-07,7.50000000e-03,3.82812500e-03
-1.67253125e-07,9.43750000e-03,1.27343750e-02
-1.66453125e-07,7.46875000e-03,1.38281250e-02
-1.65653125e-07,1.16875000e-02,1.65625000e-02
-1.64853125e-07,1.13750000e-02,2.03125000e-02
-1.64053125e-07,1.17500000e-02,1.69531250e-02
-1.63253125e-07,1.30312500e-02,2.62500000e-02
-1.62453125e-07,1.01250000e-02,9.92187500e-03
-1.61653125e-07,1.15000000e-02,1.58593750e-02
-1.60853125e-07,1.55937500e-02,1.60156250e-02
-1.60053125e-07,5.46875000e-03,1.03125000e-02
-1.59253125e-07,1.07187500e-02,3.82812500e-03
-1.58453125e-07,6.65625000e-03,1.60937500e-02
-1.57653125e-07,1.09687500e-02,1.88281250e-02
-1.56853125e-07,8.06250000e-03,1.43750000e-02
-1.56053125e-07,1.07500000e-02,1.75000000e-02
-1.55253125e-07,1.46875000e-03,2.42187500e-03
-1.54453125e-07,1.31875000e-02,1.67187500e-02
-1.53653125e-07,9.25000000e-03,1.10156250e-02
-1.52853125e-07,1.33750000e-02,1.98437500e-02
-1.52053125e-07,6.59375000e-03,1.02343750e-02
-1.51253125e-07,1.48437500e-02,1.39062500e-02
-1.50453125e-07,8.50000000e-03,2.16406250e-02
-1.49653125e-07,9.90625000e-03,1.08593750e-02
-1.48853125e-07,4.78125000e-03,7.96875000e-03
-1.48053125e-07,1.34062500e-02,2.32031250e-02
-1.47253125e-07,1.10000000e-02,2.21093750e-02
-1.46453125e-07,1.10937500e-02,1.89062500e-02
-1.45653125e-07,3.31250000e-03,1.67968750e-02
-1.44853125e-07,8.12500000e-03,2.15625000e-02
-1.44053125e-07,1.10625000e-02,1.40625000e-02
-1.43253125e-07,1.20937500e-02,2.10156250e-02
-1.42453125e-07,3.43750000e-03,2.12500000e-02
-1.41653125e-07,1.43437500e-02,9.45312500e-03
-1.40853125e-07,1.21875000e-02,1.69531250e-02
-1.40053125e-07,9.00000000e-03,1.60937500e-02
-1.39253125e-07,4.96875000e-03,1.42187500e-02
