Model,MSO64B
Channel,CH1,,Channel,CH2,,Channel,REF1,,Channel,REF2
Label,,,Label,,,Label,CH1,,Label,CH2
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,8.00000000e-10,,Sample Interval,8.00000000e-10,,Sample Interval,8.00000000e-10,,Sample Interval,8.00000000e-10
Record Length,5000,,Record Length,5000,,Record Length,5000,,Record Length,5000
Zero Index,349.10156250,,Zero Index,349.10156250,,Zero Index,349.11328125,,Zero Index,349.11328125
Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,V
,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000
yPosition,2.160000,,yPosition,2.180000,,yPosition,2.160000,,yPosition,2.180000

Labels,,,,Labels,CH1,,Labels,CH2
TIME,CH1,CH2,,TIME,REF1,,TIME,REF2
-2.48081250e-07,5.12500000e-03,1.10156250e-02,,-2.48090625e-07,6.87499996e-03,,-2.48090625e-07,1.19531248e-02
-2.47281250e-07,2.28125000e-03,1.44531250e-02,,-2.47290625e-07,3.00000003e-03,,-2.47290625e-07,1.39062498e-02
-2.46481250e-07,5.75000000e-03,-2.18750000e-03,,-2.46490625e-07,4.00000019e-03,,-2.46490625e-07,1.44531252e-02
-2.45681250e-07,4.46875000e-03,6.40625000e-03,,-2.45690625e-07,6.59374986e-03,,-2.45690625e-07,1.24218753e-02
-2.44881250e-07,8.78125000e-03,1.46093750e-02,,-2.44890625e-07,4.06249985e-03,,-2.44890625e-07,8.51562526e-03
-2.44081250e-07,2.93750000e-03,9.92187500e-03,,-2.44090625e-07,3.96875013e-03,,-2.44090625e-07,9.29687545e-03
-2.43281250e-07,7.53125000e-03,1.13281250e-02,,-2.43290625e-07,4.59375000e-03,,-2.43290625e-07,7.26562506e-03
-2.42481250e-07,7.50000000e-04,1.06250000e-02,,-2.42490625e-07,9.28124972e-03,,-2.42490625e-07,6.71875011e-03
-2.41681250e-07,5.37500000e-03,1.20312500e-02,,-2.41690625e-07,5.87499980e-03,,-2.41690625e-07,8.75000004e-03
-2.40881250e-07,5.50000000e-03,1.52343750e-02,,-2.40890625e-07,5.15625020e-03,,-2.40890625e-07,6.09374978e-03
-2.40081250e-07,8.75000000e-03,5.15625000e-03,,-2.40090625e-07,4.34374996e-03,,-2.40090625e-07,6.87499996e-03
-2.39281250e-07,7.81250000e-04,1.07812500e-02,,-2.39290625e-07,1.07187498e-02,,-2.39290625e-07,1.54687501e-02
-2.38481250e-07,8.53125000e-03,3.28125000e-03,,-2.38490625e-07,1.03124999e-03,,-2.38490625e-07,6.56249980e-03
-2.37681250e-07,2.75000000e-03,1.36718750e-02,,-2.37690625e-07,8.62499978e-03,,-2.37690625e-07,1.29687497e-02
