Model,MSO64B
Channel,CH1,,Channel,CH2
Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s
Sample Interval,8.00000000e-10,,Sample Interval,8.00000000e-10
Record Length,5000,,Record Length,5000
Zero Index,349.58203125,,Zero Index,349.58203125
Vertical Units,V,,Vertical Units,V
,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,
yOffset,0.000000,,yOffset,0.000000
yPosition,2.160000,,yPosition,2.180000

Labels,,
TIME,CH1,CH2
-2.79665625e-07,9.75000000e-03,1.68750000e-02
-2.78865625e-07,5.43750000e-03,1.22656250e-02
-2.78065625e-07,9.31250000e-03,1.57031250e-02
-2.77265625e-07,1.10312500e-02,1.57031250e-02
-2.76465625e-07,1.05937500e-02,2.55468750e-02
-2.75665625e-07,5.84375000e-03,1.33593750e-02
-2.74865625e-07,1.04375000e-02,1.37500000e-02
-2.74065625e-07,8.00000000e-03,2.22656250e-02
-2.73265625e-07,5.40625000e-03,2.00781250e-02
-2.72465625e-07,1.10625000e-02,1.08593750e-02
-2.71665625e-07,9.37500000e-03,1.91406250e-02
-2.70865625e-07,6.03125000e-03,2.39843750e-02
-2.70065625e-07,9.15625000e-03,8.82812500e-03
-2.69265625e-07,1.56562500e-02,2.43750000e-02
-2.68465625e-07,1.37500000e-03,1.39062500e-02
-2.67665625e-07,1.37500000e-02,1.11718750e-02
-2.66865625e-07,9.75000000e-03,2.50000000e-02
-2.66065625e-07,1.30937500e-02,1.85937500e-02
-2.65265625e-07,6.12500000e-03,1.36718750e-02
-2.64465625e-07,1.51250000e-02,2.02343750e-02
-2.63665625e-07,6.90625000e-03,2.07812500e-02
-2.62865625e-07,1.03437500e-02,2.60156250e-02
-2.62065625e-07,7.18750000e-03,1.39062500e-02
-2.61265625e-07,1.51562500e-02,1.82812500e-02
-2.60465625e-07,6.84375000e-03,1.60937500e-02
-2.59665625e-07,1.24062500e-02,2.35156250e-02
-2.58865625e-07,8.00000000e-03,1.32812500e-02
-2.58065625e-07,2.96875000e-03,1.57031250e-02
-2.57265625e-07,1.01875000e-02,1.82031250e-02
-2.56465625e-07,1.08750000e-02,2.81250000e-02
-2.55665625e-07,5.28125000e-03,1.64843750e-02
-2.54865625e-07,8.84375000e-03,1.69531250e-02
-2.54065625e-07,7.90625000e-03,1.60937500e-02
-2.53265625e-07,7.21875000e-03,2.48437500e-02
-2.52465625e-07,1.02812500e-02,1.11718750e-02
-2.51665625e-07,1.01875000e-02,1.45312500e-02
-2.50865625e-07,1.12812500e-02,2.80468750e-02
-2.50065625e-07,9.56250000e-03,2.12500000e-02
-2.49265625e-07,1.25000000e-02,1.39843750e-02
-2.48465625e-07,1.33125000e-02,1.70312500e-02
-2.47665625e-07,6.28125000e-03,2.78906250e-02
-2.46865625e-07,8.68750000e-03,7.96875000e-03
-2.46065625e-07,1.09687500e-02,1.84375000e-02
-2.45265625e-07,5.68750000e-03,1.67187500e-02
-2.44465625e-07,1.07500000e-02,1.96093750e-02
-2.43665625e-07,1.55625000e-02,2.25781250e-02
-2.42865625e-07,5.15625000e-03,4.68750000e-03
-2.42065625e-07,1.39062500e-02,1.79687500e-02
-2.41265625e-07,7.15625000e-03,2.00781250e-02
-2.40465625e-07,1.46562500e-02,2.01562500e-02
-2.39665625e-07,2.96875000e-03,1.67187500e-02
-2.38865625e-07,1.12812500e-02,2.14843750e-02
-2.38065625e-07,5.43750000e-03,1.26562500e-02
-2.37265625e-07,1.20937500e-02,1.77343750e-02
-2.36465625e-07,8.34375000e-03,1.26562500e-02
-2.35665625e-07,1.25000000e-02,1.57812500e-02
-2.34865625e-07,8.56250000e-03,1.80468750e-02
-2.34065625e-07,1.08750000e-02,1.50000000e-02
-2.33265625e-07,7.21875000e-03,2.27343750e-02
-2.32465625e-07,7.78125000e-03,4.92187500e-03
-2.31665625e-07,1.10000000e-02,2.32812500e-02
-2.30865625e-07,1.28125000e-02,2.73437500e-02
-2.30065625e-07,5.00000000e-03,2.25000000e-02
-2.29265625e-07,7.25000000e-03,1.21093750e-02
-2.28465625e-07,1.54375000e-02,2.08593750e-02
-2.27665625e-07,8.71875000e-03,1.67968750e-02
-2.26865625e-07,1.48437500e-02,2.02343750e-02
-2.26065625e-07,1.13750000e-02,2.21093750e-02
-2.25265625e-07,1.07187500e-02,2.78906250e-02
-2.24465625e-07,8.90625000e-03,1.78125000e-02
-2.23665625e-07,9.96875000e-03,2.00000000e-02
-2.22865625e-07,8.06250000e-03,1.00781250e-02
-2.22065625e-07,8.00000000e-03,2.62500000e-02
-2.21265625e-07,1.15312500e-02,1.38281250e-02
-2.20465625e-07,1.55937500e-02,2.42187500e-02
-2.19665625e-07,7.87500000e-03,8.51562500e-03
-2.18865625e-07,6.68750000e-03,2.12500000e-02
-2.18065625e-07,1.45937500e-02,2.50781250e-02
-2.17265625e-07,2.43750000e-03,1.00781250e-02
-2.16465625e-07,1.27812500e-02,1.23437500e-02
-2.15665625e-07,9.00000000e-03,1.89843750e-02
-2.14865625e-07,1.08750000e-02,2.53125000e-02
-2.14065625e-07,7.09375000e-03,1.73437500e-02
-2.13265625e-07,1.38125000e-02,1.28125000e-02
-2.12465625e-07,6.59375000e-03,2.16406250e-02
-2.11665625e-07,1.15312500e-02,1.92187500e-02
-2.10865625e-07,6.40625000e-03,6.95312500e-03
-2.10065625e-07,1.20937500e-02,1.78125000e-02
-2.09265625e-07,7.81250000e-03,2.14843750e-02
-2.08465625e-07,1.65937500e-02,2.34375000e-02
-2.07665625e-07,5.46875000e-03,2.19531250e-02
-2.06865625e-07,1.00000000e-02,1.26562500e-02
-2.06065625e-07,1.25625000e-02,1.70312500e-02
-2.05265625e-07,1.61562500e-02,1.93750000e-02
-2.04465625e-07,6.84375000e-03,1.08593750e-02
-2.03665625e-07,1.15000000e-02,1.50781250e-02
-2.02865625e-07,1.06875000e-02,2.09375000e-02
-2.02065625e-07,9.96875000e-03,2.40625000e-02
-2.01265625e-07,1.05937500e-02,1.67187500e-02
-2.00465625e-07,1.21250000e-02,2.08593750e-02
-1.99665625e-07,1.61875000e-02,2.32812500e-02
-1.98865625e-07,1.16875000e-02,1.72656250e-02
-1.98065625e-07,1.33437500e-02,1.42187500e-02
-1.97265625e-07,8.53125000e-03,2.48437500e-02
-1.96465625e-07,4.78125000e-03,2.38281250e-02
-1.95665625e-07,9.81250000e-03,1.39843750e-02
-1.94865625e-07,6.56250000e-03,1.75781250e-02
-1.94065625e-07,1.09687500e-02,1.80468750e-02
-1.93265625e-07,1.00937500e-02,1.95312500e-02
-1.92465625e-07,1.32812500e-02,1.85937500e-02
-1.91665625e-07,3.00000000e-03,1.21875000e-02
-1.90865625e-07,1.41250000e-02,1.63281250e-02
-1.90065625e-07,9.50000000e-03,2.63281250e-02
-1.89265625e-07,1.49687500e-02,3.17968750e-02
-1.88465625e-07,8.65625000e-03,2.30468750e-02
-1.87665625e-07,1.60625000e-02,2.17968750e-02
-1.86865625e-07,8.43750000e-03,1.13281250e-02
-1.86065625e-07,1.12812500e-02,2.60156250e-02
-1.85265625e-07,6.21875000e-03,-2.81250000e-03
-1.84465625e-07,1.03750000e-02,1.62500000e-02
-1.83665625e-07,9.56250000e-03,2.98437500e-02
-1.82865625e-07,1.28750000e-02,9.29687500e-03
-1.82065625e-07,8.00000000e-03,1.78125000e-02
-1.81265625e-07,6.25000000e-03,1.87500000e-02
-1.80465625e-07,9.37500000e-03,1.82812500e-02
-1.79665625e-07,1.54375000e-02,2.60937500e-02
-1.78865625e-07,7.53125000e-03,1.18750000e-02
-1.78065625e-07,1.33437500e-02,2.03906250e-02
-1.77265625e-07,1.20000000e-02,1.92187500e-02
-1.76465625e-07,1.12187500e-02,1.75000000e-02
-1.75665625e-07,1.10937500e-02,1.94531250e-02
-1.74865625e-07,1.22500000e-02,1.61718750e-02
-1.74065625e-07,1.18125000e-02,3.14843750e-02
-1.73265625e-07,8.81250000e-03,2.29687500e-02
-1.72465625e-07,1.81250000e-02,1.40625000e-02
-1.71665625e-07,1.39687500e-02,2.54687500e-02
-1.70865625e-07,8.06250000e-03,2.31250000e-02
-1.70065625e-07,1.23437500e-02,2.25781250e-02
-1.69265625e-07,8.75000000e-03,1.78125000e-02
-1.68465625e-07,8.37500000e-03,1.73437500e-02
-1.67665625e-07,9.68750000e-03,1.67968750e-02
-1.66865625e-07,1.50937500e-02,2.14843750e-02
-1.66065625e-07,4.50000000e-03,2.25781250e-02
-1.65265625e-07,1.01562500e-02,2.39062500e-02
-1.64465625e-07,6.87500000e-03,2.04687500e-02
-1.63665625e-07,1.48437500e-02,1.46875000e-02
-1.62865625e-07,4.75000000e-03,1.61718750e-02
-1.62065625e-07,1.39375000e-02,1.68750000e-02
-1.61265625e-07,1.84375000e-03,2.54687500e-02
-1.60465625e-07,9.31250000e-03,2.50781250e-02
-1.59665625e-07,1.07500000e-02,9.29687500e-03
-1.58865625e-07,1.57500000e-02,2.76562500e-02
-1.58065625e-07,8.93750000e-03,1.63281250e-02
-1.57265625e-07,1.63437500e-02,1.63281250e-02
-1.56465625e-07,7.84375000e-03,2.59375000e-02
-1.55665625e-07,1.09062500e-02,2.44531250e-02
-1.54865625e-07,1.02500000e-02,1.58593750e-02
-1.54065625e-07,1.27500000e-02,1.82031250e-02
