Model,MSO64B
Channel,CH1,,Channel,CH2
Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s
Sample Interval,8.00000000e-10,,Sample Interval,8.00000000e-10
Record Length,5000,,Record Length,5000
Zero Index,349.32031250,,Zero Index,349.32031250
Vertical Units,V,,Vertical Units,V
,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,
yOffset,0.000000,,yOffset,0.000000
yPosition,2.160000,,yPosition,2.180000

Labels,,
TIME,CH1,CH2
-2.79456250e-07,5.96875000e-03,1.39843750e-02
-2.78656250e-07,1.07812500e-02,8.12500000e-03
-2.77856250e-07,9.90625000e-03,1.47656250e-02
-2.77056250e-07,7.43750000e-03,9.21875000e-03
-2.76256250e-07,8.59375000e-03,6.79687500e-03
-2.75456250e-07,5.34375000e-03,1.07812500e-02
-2.74656250e-07,9.81250000e-03,7.34375000e-03
-2.73856250e-07,5.65625000e-03,1.07812500e-02
-2.73056250e-07,5.03125000e-03,4.60937500e-03
-2.72256250e-07,7.96875000e-03,-2.26562500e-03
-2.71456250e-07,8.59375000e-03,7.18750000e-03
-2.70656250e-07,-2.87500000e-03,1.75781250e-02
-2.69856250e-07,8.93750000e-03,1.11718750e-02
-2.69056250e-07,7.09375000e-03,1.01562500e-02
-2.68256250e-07,9.03125000e-03,9.29687500e-03
-2.67456250e-07,3.09375000e-03,9.53125000e-03
-2.66656250e-07,7.00000000e-03,1.12500000e-02
-2.65856250e-07,3.18750000e-03,2.34375000e-04
-2.65056250e-07,8.65625000e-03,2.28906250e-02
-2.64256250e-07,3.87500000e-03,3.67187500e-03
-2.63456250e-07,8.15625000e-03,1.03906250e-02
-2.62656250e-07,6.00000000e-03,1.18750000e-02
-2.61856250e-07,6.87500000e-03,8.04687500e-03
-2.61056250e-07,9.37500000e-05,1.39843750e-02
-2.60256250e-07,3.03125000e-03,-2.03125000e-03
-2.59456250e-07,8.00000000e-03,9.84375000e-03
-2.58656250e-07,1.24687500e-02,1.18750000e-02
-2.57856250e-07,4.21875000e-03,6.09375000e-03
-2.57056250e-07,6.65625000e-03,2.10937500e-03
-2.56256250e-07,1.11875000e-02,3.04687500e-03
-2.55456250e-07,8.75000000e-03,5.62500000e-03
-2.54656250e-07,4.75000000e-03,7.73437500e-03
-2.53856250e-07,8.28125000e-03,1.14843750e-02
-2.53056250e-07,9.06250000e-03,9.53125000e-03
-2.52256250e-07,9.03125000e-03,1.20312500e-02
-2.51456250e-07,3.34375000e-03,6.87500000e-03
-2.50656250e-07,6.62500000e-03,1.47656250e-02
-2.49856250e-07,4.34375000e-03,1.19531250e-02
-2.49056250e-07,1.06875000e-02,1.45312500e-02
-2.48256250e-07,4.50000000e-03,3.90625000e-03
-2.47456250e-07,4.03125000e-03,5.46875000e-03
-2.46656250e-07,4.68750000e-03,8.20312500e-03
-2.45856250e-07,8.78125000e-03,1.52343750e-02
-2.45056250e-07,4.81250000e-03,1.95312500e-03
-2.44256250e-07,1.10000000e-02,9.53125000e-03
-2.43456250e-07,6.90625000e-03,1.48437500e-03
-2.42656250e-07,5.68750000e-03,1.69531250e-02
-2.41856250e-07,-6.25000000e-04,7.18750000e-03
-2.41056250e-07,4.87500000e-03,1.14843750e-02
-2.40256250e-07,5.84375000e-03,2.03125000e-03
-2.39456250e-07,5.37500000e-03,2.09375000e-02
-2.38656250e-07,6.81250000e-03,5.62500000e-03
-2.37856250e-07,8.34375000e-03,8.98437500e-03
-2.37056250e-07,2.90625000e-03,1.05468750e-02
-2.36256250e-07,7.00000000e-03,5.46875000e-03
-2.35456250e-07,9.37500000e-04,1.14062500e-02
-2.34656250e-07,5.50000000e-03,1.39062500e-02
-2.33856250e-07,1.10312500e-02,-7.81250000e-04
-2.33056250e-07,9.03125000e-03,9.14062500e-03
-2.32256250e-07,3.18750000e-03,9.14062500e-03
-2.31456250e-07,8.96875000e-03,-3.67187500e-03
-2.30656250e-07,9.18750000e-03,1.30468750e-02
-2.29856250e-07,7.34375000e-03,7.34375000e-03
-2.29056250e-07,8.00000000e-03,7.57812500e-03
-2.28256250e-07,8.62500000e-03,8.82812500e-03
-2.27456250e-07,7.12500000e-03,6.09375000e-03
-2.26656250e-07,5.96875000e-03,6.32812500e-03
-2.25856250e-07,8.34375000e-03,1.54687500e-02
-2.25056250e-07,4.09375000e-03,1.19531250e-02
-2.24256250e-07,4.21875000e-03,1.46093750e-02
